,e,s,i1,i2,c,r,d,detected
334,0,32611,0,0,0,66534,858,0
335,0,32611,0,0,0,66534,858,0
336,0,32611,0,0,0,66534,858,0
337,0,32611,0,0,0,66534,858,0
338,0,32611,0,0,0,66534,858,0
339,0,32611,0,0,0,66534,858,0
340,0,32611,0,0,0,66534,858,0
341,0,32611,0,0,0,66534,858,0
342,0,32611,0,0,0,66534,858,0
343,0,32611,0,0,0,66534,858,0
344,0,32611,0,0,0,66534,858,0
345,0,32611,0,0,0,66534,858,0
346,0,32611,0,0,0,66534,858,0
347,0,32611,0,0,0,66534,858,0
348,0,32611,0,0,0,66534,858,0
349,0,32611,0,0,0,66534,858,0
